MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR_USE,REGION,SPP_NAME,CLUSTER
MSY PROXY,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"GROUPER, GOLIATH",2265
MSST,FEDERAL,EEZ,ATLANTIC COAST RED DRUM FISHERY,ALL,ALL,GULF OF MEXICO,ALL,2266
MSST,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,ALL,2267
MSST,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,ALL,GULF OF MEXICO,"GROUPER, GOLIATH",2268
MSY PROXY,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,ALL,2269
MSY PROXY,FEDERAL,EEZ,RED DRUM FISHERY OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,ALL,2270
QUOTA WITHHOLD,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,"GROUPER, GAG",2271
ACL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"GROUPER, GAG",2272
MSY PROXY,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"GROUPER, GAG",2273
ABC,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"GROUPER, GAG",2274
OFL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"GROUPER, GAG",2275
ELECTRONIC REPORTING,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,RECREATIONAL,ALL,SOUTH ATLANTIC,ALL,2276
ELECTRONIC REPORTING,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,ALL,GULF OF MEXICO,ALL,2277
ELECTRONIC REPORTING,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,ALL,SOUTH ATLANTIC,ALL,2278
ELECTRONIC REPORTING,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,RECREATIONAL,ALL,SOUTH ATLANTIC,ALL,2279
ELECTRONIC REPORTING,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,ALL,2280
ELECTRONIC REPORTING,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,RECREATIONAL,FOR-HIRE,SOUTH ATLANTIC,ALL,2281
OFL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"SNAPPER, LANE",2282
ABC,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"SNAPPER, LANE",2283
DESCENDING DEVICE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,ALL,2284
DESCENDING DEVICE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,ALL,2285
CLOSURE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,LONGLINE,SOUTH ATLANTIC,"TILEFISH, GOLDEN",2286
DEFINITION,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,ALL,2287
DEFINITION,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,ALL,2288
DEFINITION,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,ALL,CARIBBEAN,ALL,2289
DEFINITION,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,ALL,CARIBBEAN,ALL,2290
DEFINITION,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,ALL,2291
DEFINITION,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,ALL,CARIBBEAN,ALL,2292
ABC,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2293
OFL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2294
ABC,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2295
ABC,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2296
OFL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2297
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2298
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2299
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2300
OFL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2301
MSST,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2302
MFMT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2303
MSY PROXY,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2304
MSST,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2305
MSY PROXY,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2306
MFMT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2307
MSST,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2308
MSY PROXY,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2309
MFMT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2310
CLOSURE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,GILLNET,GULF OF MEXICO,"MACKEREL, KING",2311
